Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Country Code
OECD average,45.1,45.1,42.3,40.2,40.2,39.7,39,39.1,39.9,40.2,40.6,40.1,39.1,38.3,38,38.3,38.8,39.3,39.5,37.2,36.1,35.9,OECD
Australia,60.1,55.9,54.7,54.3,57.1,59.5,59.1,57.6,58.7,59.8,61.1,60.6,60.3,61.2,61.6,62.3,62.9,63.3,63.6,60.7,59.8,60.4,AUS
Austria,..,..,..,..,56.1,53.2,51.8,50.7,50.3,49.1,48.1,47.2,47.4,46.5,47.8,49.4,49.9,51.5,52.2,51.7,49.4,50.1,AUT
Belgium,27.5,29.3,30.3,26.3,25.3,24.2,22.6,21.8,22.6,23.4,26.7,25,26.5,24.7,25.4,25.2,24.7,25,25,23.2,23.1,24.2,BEL
Canada,59.9,57.6,55.1,53.3,53.4,53.3,52.1,50.2,51.9,53.8,55.7,56.2,57.6,58.5,58.2,58.7,59.3,59.8,60.3,57.2,56.6,56.4,CAN
Chile,..,..,..,..,..,..,21.4,22.1,21.1,18.6,18.2,17.5,16.8,17.3,18.1,18.6,18.9,19.6,20.2,19.8,23.8,25.3,CHL
Czech Republic,..,..,..,37.9,39.4,38.3,37.3,36.1,35.8,34.3,33.6,31.5,29.2,27.6,25.4,23.3,23.7,23.9,23.5,21.7,20.6,19.9,CZE
Denmark,62.2,62.2,62.1,59.7,59.1,60.9,62,63.4,66.1,62.8,64,59,61.4,57.6,61.1,60.5,64.1,64,65.3,62.8,59.5,58.5,DNK
Estonia,43.4,41.2,36.8,36.2,39,33.2,32.4,33.9,33.2,28,27,24.6,21.6,22.6,21.5,25,26.1,30,33.2,27,23.9,29.2,EST
Finland,52.2,46,37.1,31,28.5,28.2,29.4,32.7,34.1,38.2,39.9,40.5,40.1,39,39.3,40.4,41.4,44.7,45,41.6,40.1,41.3,FIN
France,32,29.4,28,26.2,24.1,23.6,22.9,21.9,22.8,23.3,25.2,25.6,25.9,28.1,27.4,26.7,26.3,27.9,28.3,28.3,27.2,26.9,FRA
Germany,54,54.4,52.1,49.7,48.6,45.9,43,42.1,42.6,44.5,44.6,44.7,43.2,41.1,40.2,40.1,41.6,43.5,44.5,44.4,44.5,46.1,DEU
Greece,23.8,22.6,21.8,21.1,20.6,20.3,20,19.4,22.2,22.1,22,21.8,21.4,19.8,21.3,19.8,18.7,18.7,18.5,18.1,16.2,12.9,GRC
Hungary,..,..,33.7,30.3,29.5,27,25.2,26.2,30.7,30.4,28.8,26.9,25.8,23.7,20.8,19.3,18.8,17.8,16.8,16.3,16.6,16.7,HUN
Iceland,..,56.5,53.6,53.9,53.1,54.5,55.1,57.2,63.5,67,70.5,67,59.8,67.7,67.5,74.5,75.6,75,73.9,67,65.7,67.8,ISL
Ireland,39.6,36.4,34.2,33.1,30.6,35,34.2,35.7,40.7,44.7,45.1,43.7,42.4,43.1,42.3,45.4,45,47.1,45.5,38.5,32.6,30.4,IRL
Israel*,22,22.1,22.5,24.4,27.7,28.7,29.2,28.6,27.8,28.3,29.6,28.5,25.9,26.1,26.8,28,28.1,28.3,28.8,29.1,29.3,28.5,ISR
Italy,25.4,25,23.6,23.2,21.8,20.9,20.4,20.3,20.7,21.3,22.1,22.1,21.2,20.6,23.1,20.8,20.1,19.5,19.4,17,16.5,15.5,ITA
Japan,43,43.9,44.6,44.2,44.6,44.4,44.4,44.7,44.3,42.9,43,42.4,41,40.5,40.6,41.7,42,41.5,41.8,41.2,40.5,40.2,JPN
Korea,38.5,40,39.6,39.1,39.3,39.6,38.6,37.2,31.5,31.7,33.7,35.1,36.5,36,36.3,35.5,32.3,30.4,28.6,27.4,27.7,27.7,KOR
Luxembourg,42,48.8,49,44,41.8,36.8,35.3,32.1,31,29.5,28.3,30.3,28.4,26.1,20.5,21.3,21.2,18.4,20.6,24.2,20.3,18.5,LUX
Mexico,..,32.5,33.1,33.6,32.8,31.6,31.6,32.9,34.2,34.2,34,32.3,31.1,29.6,29.7,30.8,31.8,31.5,31.5,28.8,29.8,29.5,MEX
Netherlands,53.4,54.6,56.3,55,55,54.8,56.8,59.3,61.4,64.8,65.1,69.2,69,63.8,61.3,61,61.5,64,65.7,65.2,63.5,64.4,NLD
New Zealand,56.3,52.6,51.1,50.8,52.9,55.3,56.1,55.2,53.4,51.6,52.2,52.7,53.5,53.3,52.6,53.4,55.3,55.9,53.8,49.2,48.3,48.3,NZL
Norway,50.7,48.9,47.3,45.8,46.6,47.3,50,51.8,55.3,55.2,55,55,57.1,55.4,54.7,52.5,53,56.3,58.3,54.4,52.7,52.4,NOR
Poland,..,..,28.2,25.9,24.8,23.5,23.8,24.7,25.2,21.4,21.8,20,17.9,17,17,18.1,21,22.4,23.7,23.2,22.1,20.1,POL
Portugal,47.5,46.6,41.6,37.9,35.7,32.7,32.1,34.2,38,37.5,36,37,36.5,34.4,32.5,31.4,31.6,30.6,30.8,29.4,26.5,24.9,PRT
Slovak Republic,..,..,..,..,30.7,31.1,33.1,32.7,32.1,29,28.2,26.6,25.3,25.4,24.6,23,22.3,24.1,21.4,18.6,17.3,15.1,SVK
Slovenia,..,..,..,..,..,..,..,..,..,..,..,..,26.5,24.3,28.6,29.8,30.3,31.4,33.2,31,30,26.9,SVN
Spain,28.7,28.3,26.3,22.8,21.8,21.8,21.4,22.5,23.6,26.8,29,29.7,30.1,30.5,32,35.8,37.7,37,35.7,29.1,26.5,24,ESP
Sweden,66,61.1,54,44.1,42.7,43,40,39,40.7,42.7,45.4,48.4,47.3,46,43.3,43.6,44.6,46.5,45.9,38.8,39,40.9,SWE
Switzerland,..,67.9,64.7,64.9,60.8,58.8,61.9,62.2,59,65.6,63.5,63.3,65.4,62.3,61.1,58.8,62,59.7,61.2,62.4,60.9,61.7,CHE
Turkey,33.5,35.6,32.6,26.3,31,29.7,30.3,27.4,27.7,28.6,24.8,24.4,24,21.7,19.8,19.4,19.3,19.3,19.8,19.3,20.3,21.2,TUR
United Kingdom,65.9,63.7,60,57.6,56.9,56.9,58.5,58.8,58.6,58.6,59.1,58.7,59.2,57.9,58.2,56.7,56.6,54.8,55,51.2,50.1,49.2,GBR
United States,56.1,54,53.7,54.3,55.3,55.1,55.2,55.9,57.2,57,57.4,56,54.3,52.5,52.2,52.6,52.3,51.8,50.2,47,45.1,44.9,USA
