Bureau of Justice Statistics,,,,,,,,
Filename: fvsv9410at01,,,,,,,,
"Appendix table 1. Female rape and sexual assault victimization rates, 1995–2010",,,,,,,,
"Report title: Female Victims of Sexual Violence, 1994-2010",,,,,,,,
"Data source: BJS National Crime Victimization Survey, 1994-2010",,,,,,,,
"Authors: Michael Planty and Lynn Langton, BJS; Christopher Krebs, Marcus Berzofsky and Hope Smiley-McDonald, RTI International",,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,
Date of release: 03/07/13,,,,,,,,
,,,,,,,,
"Appendix table 1. Female rape and sexual assault victimization rates, 1995–2010",,,,,,,,
,Total,,Completed,,Attempted,,Threatened,
Year,Average annual count,Rate*,Average annual count,Rate*,Average annual count,Rate*,Average annual count,Rate*
1995,"555,600",5,"402,000",3.6,"83,900",0.8,"69,800",0.6
1996,"443,300",4,"304,300",2.7,"56,400",0.5,"82,600",0.7
1997,"450,100",4,"301,400",2.7,"55,200",0.5,"93,500",0.8
1998,"436,400",3.8,"322,100",2.8,"62,600",0.5,"51,700",0.5
1999,"458,900",4,"346,000",3,"82,300",0.7,"30,600",0.3
2000,"452,100",3.9,"352,200",3,"71,300",0.6,"28,600",0.2
2001,"390,700",3.3,"286,400",2.4,"67,400",0.6,"36,800",0.3
2002,"366,200",3.1,"244,100",2.1,"70,700",0.6,"51,400",0.4
2003,"304,300",2.5,"212,200",1.7,"57,900",0.5,"34,200",0.3
2004,"277,600",2.2,"204,500",1.7,"55,000",0.4,"18,000",0.1
2005,"221,100",1.8,"158,700",1.3,"42,900",0.3,"19,500",0.2
2006,"276,300",2.2,"183,500",1.5,"60,200",0.5,"32,600",0.3
2007,"298,400",2.3,"194,200",1.5,"68,500",0.5,"35,700",0.3
2008,"273,500",2.1,"168,500",1.3,"76,200",0.6,"28,900",0.2
2009,"297,900",2.3,"168,800",1.3,"86,300",0.7,"42,900",0.3
2010,"269,700",2.1,"143,300",1.1,"89,300",0.7,"37,000",0.3
Note: Estimates based on 2-year rolling averages centered on the most recent year. See appendix table 2 for standard errors.,,,,,,,,
"*Per 1,000 females age 12 or older. ",,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1994–2010.",,,,,,,,
