Bureau of Justice Statistics,,,,,,,,
Filename: fvsv9410at02,,,,,,,,
"Appendix table 2. Standard errors for figure 1 and appendix table 1: Female rape and sexual assault victimization rates, 1995–2010",,,,,,,,
"Report title: Female Victims of Sexual Violence, 1994-2010",,,,,,,,
"Data source: BJS National Crime Victimization Survey, 1994-2010",,,,,,,,
"Authors: Michael Planty and Lynn Langton, BJS; Christopher Krebs, Marcus Berzofsky and Hope Smiley-McDonald, RTI International",,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,
Date of release: 03/07/13,,,,,,,,
,,,,,,,,
"Appendix table 2. Standard errors for figure 1 and appendix table 1: Female rape and sexual assault victimization rates, 1995–2010",,,,,,,,
,Total,,Completed,,Attempted,,Threatened,
Year,Average annual count,Rate*,Average annual count,Rate*,Average annual count,Rate*,Average annual count,Rate*
1995,"43,100",0.3,"35,800",0.2,"15,200",0.1,"13,800",0.1
1996,"38,300",0.3,"31,000",0.2,"12,400",0.1,"15,200",0.1
1997,"41,000",0.3,"32,800",0.2,"13,100",0.1,"17,300",0.1
1998,"43,000",0.3,"36,100",0.2,"14,600",0.1,"13,200",0.1
1999,"42,600",0.3,"36,100",0.2,"16,100",0.1,"9,400",0.1
2000,"40,600",0.3,"35,200",0.2,"14,500",0.1,"8,900",0.1
2001,"40,400",0.3,"33,800",0.2,"15,200",0.1,"11,000",0.1
2002,"38,500",0.2,"30,600",0.2,"15,500",0.1,"13,000",0.1
2003,"32,700",0.2,"26,700",0.2,"13,200",0.1,"10,000",0.1
2004,"33,600",0.2,"28,400",0.2,"14,000",0.1,"7,800",--
2005,"34,500",0.2,"28,800",0.2,"14,400",0.1,"9,600",0.1
2006,"37,000",0.2,"29,600",0.2,"16,300",0.1,"11,800",0.1
2007,"40,800",0.2,"32,200",0.2,"18,300",0.1,"12,900",0.1
2008,"37,200",0.2,"28,400",0.2,"18,500",0.1,"11,100",0.1
2009,"38,900",0.2,"28,500",0.2,"19,800",0.1,"13,700",0.1
2010,"37,000",0.2,"26,000",0.1,"20,100",0.1,"12,500",0.1
"*Per 1,000 females age 12 or older.",,,,,,,,
 --Less then 0.05.,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1994–2010.",,,,,,,,
