Bureau of Justice Statistics,,,,,,,,
Filename: fvsv9410at03,,,,,,,,
"Appendix table 3. Rape and sexual assault victimization rates, by sex of victim, 1995–2010",,,,,,,,
"Report title: Female Victims of Sexual Violence, 1994-2010",,,,,,,,
"Data source: BJS National Crime Victimization Survey, 1994-2010",,,,,,,,
"Authors: Michael Planty and Lynn Langton, BJS; Christopher Krebs, Marcus Berzofsky and Hope Smiley-McDonald, RTI International",,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,
Date of release: 03/07/13,,,,,,,,
 ,,,,,,,,
"Appendix table 3. Rape and sexual assault victimization rates, by sex of victim, 1995–2010",,,,,,,,
,All persons,,Female,,Male,,,
Year,Average annual count,Rate*,Average annual count,Rate*,Average annual count,,Rate*,
1995,"618,800",2.9,"555,600",5,"63,100", ,0.6, 
1996,"500,200",2.3,"443,300",4,"56,900", ,0.5, 
1997,"495,400",2.3,"450,100",4,"45,200", ,0.4, 
1998,"472,300",2.1,"436,400",3.8,"35,900", ,0.3, 
1999,"491,300",2.2,"458,900",4,"32,400", ,0.3, 
2000,"479,100",2.1,"452,100",3.9,"27,100", ,0.2, 
2001,"421,700",1.8,"390,700",3.3,"31,000", ,0.3, 
2002,"413,200",1.8,"366,200",3.1,"47,000", ,0.4, 
2003,"337,600",1.4,"304,300",2.5,"33,300", ,0.3, 
2004,"290,500",1.2,"277,600",2.2,"12,900", !,0.1, !
2005,"231,800",1,"221,100",1.8,"10,600", !,0.1, !
2006,"335,700",1.4,"276,300",2.2,"59,400", ,0.5, 
2007,"355,900",1.4,"298,400",2.3,"57,500", ,0.5, 
2008,"299,000",1.2,"273,500",2.1,"25,400", ,0.2, 
2009,"327,600",1.3,"297,900",2.3,"29,700", ,0.2, 
2010,"287,100",1.1,"269,700",2.1,"17,400", ,0.1, 
Note: Estimates based on 2-year rolling averages centered on the most recent year. See appendix table 4 for standard errors.,,,,,,,,
"! Interpret with caution; estimate based on 10 or fewer sample cases, or coefficient of variation is greater than 50%. ",,,,,,,,
"*Per 1,000 persons age 12 or older. ",,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1994–2010.",,,,,,,,
