Bureau of Justice Statistics,,,,,,
Filename: fvsv9410at04,,,,,,
"Appendix table 4. Standard errors for figure 2 and appendix table 3: Rape and sexual assault victimization rates, by sex of victim, 1995–2010",,,,,,
"Report title: Female Victims of Sexual Violence, 1994-2010",,,,,,
"Data source: BJS National Crime Victimization Survey, 1994-2010",,,,,,
"Authors: Michael Planty and Lynn Langton, BJS; Christopher Krebs, Marcus Berzofsky and Hope Smiley-McDonald, RTI International",,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,
Date of release: 03/07/13,,,,,,
,,,,,,
"Appendix table 4. Standard errors for figure 2 and appendix table 3: Rape and sexual assault victimization rates, by sex of victim, 1995–2010",,,,,,
,All persons,,Female,,Male,
Year,Average annual count,Rate*,Average annual count,Rate*,Average annual count,Rate*
1995,"45,800",0.2,"43,100",0.3,"13,100",0.1
1996,"41,000",0.1,"38,300",0.3,"12,500",0.1
1997,"43,300",0.1,"41,000",0.3,"11,800",0.1
1998,"45,100",0.2,"43,000",0.3,"10,900",0.1
1999,"44,300",0.1,"42,600",0.3,"9,700",0.1
2000,"42,000",0.1,"40,600",0.3,"8,600",0.1
2001,"42,200",0.1,"40,400",0.3,"10,000",0.1
2002,"41,300",0.1,"38,500",0.2,"12,400",0.1
2003,"34,700",0.1,"32,700",0.2,"9,800",0.1
2004,"34,500",0.1,"33,600",0.2,"6,600",--
2005,"35,400",0.1,"34,500",0.2,"7,000",0
2006,"41,200",0.1,"37,000",0.2,"16,200",0.1
2007,"45,100",0.1,"40,800",0.2,"16,700",0.1
2008,"39,100",0.1,"37,200",0.2,"10,400",0.1
2009,"41,100",0.1,"38,900",0.2,"11,300",0.1
2010,"38,400",0.1,"37,000",0.2,"8,400",--
"*Per 1,000 persons age 12 or older. ",,,,,,
--Less than 0.05.,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1994–2010.",,,,,,
