Bureau of Justice Statistics,,,,,,,
Filename: fvsv9410at10,,,,,,,
"Appendix table 10. Standard errors for table 6: Injured female victims of rape and sexual assault who received treatment, 1994–1998, 1999–2004, and 2005–2010",,,,,,,
"Report title: Female Victims of Sexual Violence, 1994-2010",,,,,,,
"Data source: BJS National Crime Victimization Survey, 1994-2010",,,,,,,
"Authors: Michael Planty and Lynn Langton, BJS; Christopher Krebs, Marcus Berzofsky and Hope Smiley-McDonald, RTI International",,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,
Date of release: 03/07/13,,,,,,,
,,,,,,,
"Appendix table 10. Standard errors for table 6: Injured female victims of rape and sexual assault who received treatment, 1994–1998, 1999–2004, and 2005–2010",,,,,,,
Injury,,1994–1998,,1999–2004,,2005–2010,
No injury,,1.9,%,1.9,%,2.8,%
Any injury,,1.9,% ,2,%,2.8,%
Treatment for injury,,~,,~,,~,
,No treatment,2.2,%,2.6,%,3.5,%
,Any treatment,2.2, ,2.5, ,3.5, 
Treatment setting,,~,,~,,~,
,At scene or home of victim/ neighbor/friend,4.5,%,3.8,%,4.7,%
,In doctor’s office/hospital/emergency room/overnight hospital,4.6, ,3.9, ,4.8,
,In other location/unknown,1.4,,1.3,,1.1,
~Not applicable.,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1994–2010.",,,,,,,
