Bureau of Justice Statistics,,,
Filename: fvsv9410at12,,,
"Appendix table 12. Standard errors for figure 3: Rape and sexual assault victimizations against females reported to police, 1995–2010",,,
"Report title: Female Victims of Sexual Violence, 1994-2010",,,
"Data source: BJS National Crime Victimization Survey, 1994-2010",,,
"Authors: Michael Planty and Lynn Langton, BJS; Christopher Krebs, Marcus Berzofsky and Hope Smiley-McDonald, RTI International",,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,
Date of release: 03/07/13,,,
,,,
"Appendix table 12. Standard errors for figure 3: Rape and sexual assault victimizations against females reported to police, 1995–2010",,,
Year,Percent,Standard error,
1995,29%,2.2,% 
1996,27,2.4, 
1997,28,2.6, 
1998,27,2.7, 
1999,28,2.6, 
2000,32,2.6, 
2001,40,3.2, 
2002,46,3.3, 
2003,56,3.4, 
2004,45,4, 
2005,32,4.8, 
2006,32,3.8, 
2007,34,4, 
2008,40,4.3, 
2009,32,3.9, 
2010,35,4.2, 
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1994–2010.",,,
