Bureau of Justice Statistics,,
Filename: fvsv9410f02,,
"Figure 2. Rape and sexual assault victimizations, by sex of victim, 1995-2010",,
"Report title: Female Victims of Sexual Violence, 1994-2010",,
"Data source: BJS National Crime Victimization Survey, 1994-2010",,
"Authors: Michael Planty and Lynn Langton, BJS; Christopher Krebs, Marcus Berzofsky and Hope Smiley-McDonald, RTI International",,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,
Date of release: 03/07/13,,
,,
"Figure 2. Rape and sexual assault victimizations, by sex of victim, 1995-2010",,
,"Rate per 1,000 persons age 12 or older",
Year,Female,Male
1995,5,0.6
1996,4,0.5
1997,4,0.4
1998,3.8,0.3
1999,4,0.3
2000,3.9,0.2
2001,3.3,0.3
2002,3.1,0.4
2003,2.5,0.3
2004,2.2,0.1
2005,1.8,0.1
2006,2.2,0.5
2007,2.3,0.5
2008,2.1,0.2
2009,2.3,0.2
2010,2.1,0.1
Note: Estimates based on 2-year rolling averages centered on the most recent year. See appendix table 4 for standard errors.,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1994-2010.",,
