Bureau of Justice Statistics,
Filename: fvsv9410f03,
"Figure 3. Rape and sexual assault victimizations against females reported to police, 1995–2010",
"Report title: Female Victims of Sexual Violence, 1994-2010",
"Data source: BJS National Crime Victimization Survey, 1994-2010",
"Authors: Michael Planty and Lynn Langton, BJS; Christopher Krebs, Marcus Berzofsky and Hope Smiley-McDonald, RTI International",
Refer questions to: askbjs@usdoj.gov 202-307-0765,
Date of release: 03/07/13,
,
"Figure 3. Rape and sexual assault victimizations against females reported to police, 1995–2010",
Year,Percent
1995,28.8
1996,26.7
1997,27.9
1998,27.4
1999,27.8
2000,31.5
2001,40.1
2002,46
2003,55.8
2004,44.5
2005,31.9
2006,31.6
2007,34
2008,40.2
2009,31.5
2010,34.9
Note: Estimates based on 2-year rolling averages centered on the most recent year. See appendix table 12 for standard errors.,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1994–2010.",
