Bureau of Justice Statistics,,,,,,,
Filename: fvsv9410t01,,,,,,,
"Table 1. Rape and sexual assault victimizations against females, by victim characteristics, 1994–1998, 1999–2004, and 2005–2010",,,,,,,
"Report title: Female Victims of Sexual Violence, 1994-2010",,,,,,,
"Data source: BJS National Crime Victimization Survey, 1994-2010",,,,,,,
"Authors: Michael Planty and Lynn Langton, BJS; Christopher Krebs, Marcus Berzofsky and Hope Smiley-McDonald, RTI International",,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,
Date of release: 03/07/13,,,,,,,
,,,,,,,
"Table 1. Rape and sexual assault victimizations against females, by victim characteristics, 1994–1998, 1999–2004, and 2005–2010",,,,,,,
,,"Rate per 1,000 females age 12 or older",,,,,
Victim characteristic,,1994–1998,,1999–2004,,2005–2010,
,Total,4.2, ,3.1, ,2.1, 
Age,,,,,,,
,12–17,11.3, ,7.6, ,4.1, 
,18–34,7, ,5.3, ,3.7, 
,35–64,2.3, ,1.8, ,1.5, 
,65 or older,0.1, !,0.2, !,0.2, !
Race/Hispanic origin,,,,,,,
,Whitea,4.3, ,3.1, ,2.2, 
,Blacka,4.2, ,4.1, ,2.8, 
,Hispanic/Latin/a,4.3, ,1.8, ,1.4, 
,American Indian/Alaska Native/a,6.4, !,4.8, !,4.5, !
,Asian/Pacific Islander/a,2.5, ,1.2, ,0.7, !
,Two or more races/a,~, ,6.6, !,5.1, !
Marital status/b,,,,,,,
,Never married,8.6, ,6.6, ,4.1, 
,Married,1.3, ,0.7, ,0.6, 
,Widowed,0.8, ,0.2, !,0.8, 
,Divorced or separated,9, ,6.3, ,4.4, 
Household income,,,,,,,
,"Less than $25,000",6.1, ,5.6, ,3.5, 
,"$25,000–$49,999",3.3, ,2.7, ,1.9, 
,"$50,000 or more",2.9, ,2, ,1.8, 
,Unknown,3.5, ,2.1, ,1.8, 
Location of residence,,,,,,,
,Urban,5.1, ,4, ,2.2, 
,Suburban,3.9, ,2.7, ,1.8, 
,Rural,3.9, ,2.5, ,3, 
Note: See appendix table 5 for standard errors. ,,,,,,,
"! Interpret with caution; estimate based on 10 or fewer sample cases, or coefficient of variation is greater than 50%. ",,,,,,,
~Not applicable.,,,,,,,
a/Excludes persons of Hispanic or Latino origin. ,,,,,,,
"b/The NCVS collects information on respondent’s marital status at the time of the interview, but it does not obtain marital status at the time of the incident or whether a change in marital status occurred after the incident.",,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1994–2010.",,,,,,,
