Bureau of Justice Statistics,,,,,,,
Filename: fvsv9410t02,,,,,,,
"Table 2. Activity and location of female victims when rape or sexual assault victimization occurred, 1994–1998, 1999–2004, and 2005–2010",,,,,,,
"Report title: Female Victims of Sexual Violence, 1994-2010",,,,,,,
"Data source: BJS National Crime Victimization Survey, 1994-2010",,,,,,,
"Authors: Michael Planty and Lynn Langton, BJS; Christopher Krebs, Marcus Berzofsky and Hope Smiley-McDonald, RTI International",,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,
Date of release: 03/07/13,,,,,,,
,,,,,,,
"Table 2. Activity and location of female victims when rape or sexual assault victimization occurred, 1994–1998, 1999–2004, and 2005–2010",,,,,,,
Location and activity,,1994–1998,,1999–2004,,2005–2010,
Location where crime occurred,,100,%,100,%,100,%
,At or near victim’s home,49,,42,,55,
,At or near home of friend/relative/acquaintance,17, ,18, ,12,
,Commercial place/parking lot   or garage,16, ,15, ,10,
,School,5, ,12, ,8, 
,Open areas/public transportation/  other*,14, ,14, ,15,
Activity when crime occurred,,100,%,100,%,100,%
,Working,12,,9,,12,
,Attending school,4, ,9, ,7, 
,Sleeping/other activities at home,46, ,41, ,48, 
,"Traveling to or from work, school, other place/shopping or errands/leisure activity away from home",30, ,35, ,29,
,Other/unknown,8, ,6, ,5, 
Note: Detail may not sum to total due to rounding. See appendix table 6 for standard errors. ,,,,,,,
"*Includes locations such as an apartment yard; a park, field, or playground not on school property; a location on the street other than that immediately adjacent to home of the victim, a relative, or a friend; on public transportation; in a station or depot for bus or train; on a plane; or in an airport.",,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1994–2010.",,,,,,,
