Bureau of Justice Statistics,,,,,,,
Filename: fvsv9410t04,,,,,,,
"Table 4. Rape and sexual assault victimizations against females, by perceived offender characteristics, 1994–1998, 1999–2004, and 2005–2010",,,,,,,
"Report title: Female Victims of Sexual Violence, 1994-2010",,,,,,,
"Data source: BJS National Crime Victimization Survey, 1994-2010",,,,,,,
"Authors: Michael Planty and Lynn Langton, BJS; Christopher Krebs, Marcus Berzofsky and Hope Smiley-McDonald, RTI International",,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,
Date of release: 03/07/13,,,,,,,
,,,,,,,
"Table 4. Rape and sexual assault victimizations against females, by perceived offender characteristics, 1994–1998, 1999–2004, and 2005–2010",,,,,,,
Offender characteristics,,1994–1998,,1999–2004,,2005–2010,
Age ,,100,%,100,%,100,%
,17 or younger,12,,14,,15,
,18–20,9, ,11, ,9, 
,21–29,24, ,28, ,25, 
,30 or older,51, ,43, ,48, 
,Other/a,3, ,2, ,2, 
Race/b,,100,%,100,%,100,%
,White,70,,60,,57,
,Black,18, ,26, ,27, 
,Other,8, ,10, ,6, 
,Mixed group,1, ,1, !,1, !
,Unknown,2, ,3, ,8, 
Alcohol/drug use at time of incident,,100,%,100,%,100,%
,Yes,40,,37,,39,
,No,38, ,31, ,30, 
,Unknown,22, ,32, ,30, 
Note: Detail may not sum to total due to rounding. See appendix table 8 for standard errors. ,,,,,,,
"! Interpret with caution; estimate based on 10 or fewer sample cases, or coefficient of variation is greater than 50%. ",,,,,,,
a/Includes multiple offenders of varying ages and offenders of unknown age. ,,,,,,,
"b/The NCVS did not collect information on the ethnicity of the offender. Therefore, Hispanic offenders make up some portion of the white, black, and other race of offender categories.",,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1994–2010.",,,,,,,
