Bureau of Justice Statistics,,,,,,,
Filename: fvsv9410t05,,,,,,,
"Table 5. Rape and sexual assault victimizations against females, by offender weapon possession, 1994–1998, 1999–2004, and 2005–2010",,,,,,,
"Report title: Female Victims of Sexual Violence, 1994-2010",,,,,,,
"Data source: BJS National Crime Victimization Survey, 1994-2010",,,,,,,
"Authors: Michael Planty and Lynn Langton, BJS; Christopher Krebs, Marcus Berzofsky and Hope Smiley-McDonald, RTI International",,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,
Date of release: 03/07/13,,,,,,,
,,,,,,,
"Table 5. Rape and sexual assault victimizations against females, by offender weapon possession, 1994–1998, 1999–2004, and 2005–2010",,,,,,,
Weapon present,,1994–1998,,1999–2004,,2005–2010,
,Total,100,%,100,%,100,%
No weapon,,88,%,83,%,83,%
Weapon,,6,%,11,%,11,% 
,Firearm,3, ,2, ,6, 
,Knife,2, ,5, ,4, 
,Other/unknown type,1, !,4, !,1, !
Don’t know,,5,%,6,%,6,%
Note: See appendix table 9 for standard errors. ,,,,,,,
"! Interpret with caution; estimate based on 10 or fewer sample cases, or coefficient of variation is greater than 50%. ",,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1994–2010.",,,,,,,
