Bureau of Justice Statistics,,,,,,,,
Filename: fvsv9410t08,,,,,,,,
"Table 8. Rape and sexual assault victimizations against females reported and not reported to police, 1994–1998, 1999–2004, and 2005–2010",,,,,,,,
"Report title: Female Victims of Sexual Violence, 1994-2010",,,,,,,,
"Data source: BJS National Crime Victimization Survey, 1994-2010",,,,,,,,
"Authors: Michael Planty and Lynn Langton, BJS; Christopher Krebs, Marcus Berzofsky and Hope Smiley-McDonald, RTI International",,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,
Date of release: 03/07/13,,,,,,,,
,,,,,,,,
"Table 8. Rape and sexual assault victimizations against females reported and not reported to police, 1994–1998, 1999–2004, and 2005–2010",,,,,,,,
Reporting to police,,,1994–1998,,1999–2004,,2005–2010,
,Total,,100,%,100,%,100,%
Not reported ,,,71,%,59,%,64,%
Reported,,,29,%,41,%,36,%
,Source of report,,100,,100,,100,
,,Victim,50,,57,,64,
,,Other household member,26, ,14, ,10, 
,,An official other than police,4, ,10, ,14, 
,,Someone else,11, ,10, ,10, 
,,Police were at crime scene,1, !,4, !,1, !
,,Other,7, ,5, !,1, !
Note: Detail may not sum to total due to rounding. See appendix table 13 for standard errors. ,,,,,,,,
"! Interpret with caution; estimate based on 10 or fewer sample cases, or coefficient of variation is greater than 50%. ",,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1994–2010.",,,,,,,,
