Bureau of Justice Statistics,,,,,,,,
Filename: fvsv9410t10,,,,,,,,
"Table 10. Rape or sexual assault victimizations against females with police response, by type of response, 1994–1998, 1999–2004, and 2005–2010",,,,,,,,
"Report title: Female Victims of Sexual Violence, 1994-2010",,,,,,,,
"Data source: BJS National Crime Victimization Survey, 1994-2010",,,,,,,,
"Authors: Michael Planty and Lynn Langton, BJS; Christopher Krebs, Marcus Berzofsky and Hope Smiley-McDonald, RTI International",,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,
Date of release: 03/07/13,,,,,,,,
,,,,,,,,
"Table 10. Rape or sexual assault victimizations against females with police response, by type of response, 1994–1998, 1999–2004, and 2005–2010",,,,,,,,
,,,1994–1998,,1999–2004,,2005–2010,
,Total,,100,%,100,%,100,%
Not reported,,,71,%,59,%,64,%
Reported,,,29,%,41,%,36,%
,Police came when notified*,,100,%,100,% ,100,% 
,,Yes,75,,84,,84,
,,No,19, ,13, ,14, 
,,Unknown/other,6, !,4, !,2, !
Note: See appendix table 15 for standard errors. ,,,,,,,,
"! Interpret with caution; estimate based on 10 or fewer sample cases, or coefficient of variation is greater than 50%. ",,,,,,,,
*Excludes about 10% of victimizations in which the victim went directly to police and between 1% and 4% in which the police were already on the scene or learned about the victimization in some other way.,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1994–2010.",,,,,,,,
