Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Country code
OECD average,14.9,14.9,18.3,18.3,18.8,19,19,19,25.9,25.9,26,26.6,26.9,26.9,27.8,32.4,35.2,35.3,42.1,44.4,45.1,48.6,53.2,53.4,55.6,54.8,55.5,54.9,55,56.3,57.2,58.3,59.1,58.7,58.7,58.7,58.5,58.5,58.8,50.7,50.7,50.7,OECD
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,52,52,52,52,52,52,52,52,52,52,52,46,46,46,46,46,46,AUS
Austria,46,46,46,46,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,96,96,96,96,96,96,78,78,78,78,78,96,96,96,96,96,96,96,96,96,96,AUT
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,BEL
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,35,35,35,35,35,35,35,35,35,35,35,CAN
Chile,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,CHL
Czech Republic,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,134,134,134,134,134,134,134,134,156,156,156,156,156,156,156,156,156,156,156,156,134,134,134,134,CZE
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,36,36,36,36,36,36,26,26,26,26,32,32,32,32,32,32,32,32,32,32,DNK
Estonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,EST
Finland,0,0,0,0,0,0,0,0,0,0,4,6,16.7,16.7,16.7,142.3,142.3,141.5,141.5,141.5,141.5,143.5,143.5,143.5,143.5,143.5,143.5,143.5,143.5,143.5,143.5,143.5,143.5,143.5,143.5,143.5,143.5,143.5,143.5,143.5,143.5,143.5,FIN
