Country,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Note,Country code
OECD average,17.1,17.4,18.2,19.4,19.9,20.3,21.0,21.5,22.6,22.9,23.6,23.9,24.6,24.9,25.2,,OECD
Australia,16,16,22,22,23,25,25,25,24.7,24.7,24.7,26.7,26.7,24.7,24.7,,AUS
Austria,27,26,26,27,27,27,34,34,33.9,32.2,32.2,..,27.9,27.9,27.9,,AUT
Belgium,12,13,13,23,23,23,23,35,34.7,34.7,34.7,35.3,35.3,39.3,39.3,,BEL
Canada,18,21,21,21,21,21,21,21,21.1,20.8,20.8,21.3,22.1,22.1,24.7,,CAN
Chile,8,8,11,11,11,13,13,13,12.5,15,15,15,15,14.2,14.2,,CHL
Czech Republic,15,15,15,15,15,15,17,17,17,15.5,15.5,15.5,15.5,22,22,,CZE
Denmark,33,33,37,37,37,38,38,38,36.9,36.9,36.9,38,38,38,38,,DNK
Estonia,13,11,11,18,18,18,18,19,18.8,18.8,21.8,20.8,20.8,22.8,19.8,,EST
Finland,34,34,34,37,37,37,37,38,37.5,38,42,41.5,41.5,40,42.5,,FIN
France,6,11,11,11,11,11,12,12,12.2,12.2,18.5,18.2,18.2,18.9,18.9,,FRA
Germany,26,26,31,31,31,32,32,32,31.8,31.8,31.6,31.6,32.8,32.8,32.8,,DEU
Greece,6,6,6,6,9,9,9,9,13,13,16,14.7,14.7,17.3,17.3,,GRC
Hungary,11,11,8,8,8,8,10,10,9.1,10.4,10.4,11.1,11.1,9.1,9.1,,HUN
Iceland,25,25,25,35,35,35,35,30,33.3,33.3,31.7,33.3,42.9,42.9,42.9,,ISL
Ireland,14,12,12,12,12,12,13,13,13.3,13.3,13.3,13.3,13.3,13.9,14.5,,IRL
Israel*,8,8,8,12,13,13,15,15,15,14.2,14.2,14.2,17.5,18.3,19.2,,ISR
Italy,11,11,11,11,11,10,12,12,11.5,17.3,17.3,21.3,21.3,21.3,21.3,,ITA
Japan,5,5,5,5,7,7,7,7,9,9.4,9.4,9.4,11.3,11.3,11.3,,JPN
Korea,3,3,4,4,6,6,6,6,13.4,13.4,13.4,13.7,13.7,14.7,15.6,,KOR
Luxembourg,20,20,20,17,17,17,17,17,23.3,23.3,23.3,23.3,20,20,20,,LUX
Mexico,14,14,17,18,16,16,16,23,24.2,..,22.6,23.2,28.2,26.2,26.2,,MEX
Netherlands,31,31,36,36,36,36,37,37,36.7,36.7,36.7,39.3,41.3,40.7,39.3,,NLD
New Zealand,29,29,29,29,31,31,29,28,32.2,32.2,32.2,33.1,33.6,33.6,33.6,,NZL
Norway,39,36,36,36,36,36,36,36,37.9,37.9,37.9,36.1,39.6,39.6,39.6,,NOR
Poland,13,13,13,13,13,20,20,20,20.4,20.4,20.4,20.2,20.2,20,20,,POL
Portugal,13,13,13,19,17,19,19,19,21.3,21.3,21.3,28.3,..,27.4,26.5,,PRT
Slovak Republic,15,15,13,13,14,14,19,19,16.7,20,19.3,19.3,19.3,15.3,16,,SVK
Slovenia,8,8,8,8,12,12,12,12,12.2,12.2,12.2,13.3,13.3,14.4,14.4,,SVN
Spain,25,25,25,22,28,28,28,28,36,36,36,36.3,36.3,36.6,36.6,,ESP
Sweden,40,40,43,43,43,43,45,45,45.3,47.3,47.3,47,47,45,45,,SWE
Switzerland,21,21,21,23,23,23,23,25,25,25,29.5,28.5,28.5,29,29,,CHE
Turkey,2,2,2,4,4,4,4,4,4.4,4.4,9.1,9.1,9.4,9.1,14.2,,TUR
United Kingdom,10,18,18,18,18,18,18,18,19.7,19.7,19.7,19.5,19.5,22,22,,GBR
United States,12,12,13,13,14,14,14,14,15.2,15.2,16.3,16.8,16.8,16.8,16.7,1,USA
Brazil,7,7,6,6,6,7,9,9,8.6,..,8.8,9,9,8.8,8.6,,BRA
China,21,..,22,22,22,22,22,20,20.3,20.3,20.3,21.3,21.3,21.3,21.3,,CHN
India,7,7,8,9,9,9,9,9,8.3,8.3,8.3,9.1,10.7,10.8,10.8,,IND
Indonesia,13,11,11,..,8,8,8,8,11.3,11.3,11.3,11.6,18.2,18,18,,IDN
Russian Federation,10,10,10,8,8,8,8,10,9.8,9.8,9.8,14,14,14,14,,RUS
South Africa,25,25,30,30,30,30,30,30,32.8,32.8,32.8,33,44.5,44.5,44.5,2,ZAF
,,,,,,,,,,,,,,,,,
.. Not available,,,,,,,,,,,,,,,,,
"*The statistical data for Israel are supplied by and under the responsibility of the relevant Israeli authorities. The use of such data by the OECD is without prejudice to the status of the Golan Heights, East Jerusalem and Israeli settlements in the West Bank under the terms of international law.",,,,,,,,,,,,,,,,,
"1. The data refers to all voting members of the House. 
2. Data do not include the 36 special rotating delegates appointed on an ad hoc basis",,,,,,,,,,,,,,,,,
Source: Inter-Parliamentary Union (IPU),,,,,,,,,,,,,,,,,
