Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Country Code
OECD average,5.1,5.1,5.1,5.4,5.5,5.5,5.3,5.2,5.5,5.8,5.8,5.9,5.9,6.1,5.8,5.8,4.4,OECD
Australia,..,..,8.2,7.9,8.3,8.6,7.1,7.2,7.4,8,8.4,8.5,8.7,9,..,..,..,AUS
Austria,4.5,4.6,4.8,5.1,5.1,5.4,5.7,5,4.8,4.1,4.5,4.5,4.2,4.3,3.9,4.1,3,AUT
Belgium,8.4,7.8,7.6,8.2,8.4,7.9,8.8,8,7.4,7.7,8.4,8.2,8.7,8,8.5,8.5,4.7,BEL
Canada,8.4,8.8,8.1,8.2,7.4,7.5,6.9,6.6,6.8,7.2,7,7.2,7.1,7.1,..,..,..,CAN
Chile,..,..,..,..,..,..,..,5.3,..,..,..,..,..,..,..,..,..,CHL
Czech Republic,3.8,3.6,3.5,3.9,3.9,3.4,3.9,3.8,3.9,4.1,4.2,4.4,4.4,4.4,4,3.5,2.8,CZE
Denmark,2.8,3.6,3.6,3.2,3.5,3.8,3.1,3.3,4.3,3.6,3.8,3.9,4.6,3,3.3,2.2,1.6,DNK
Estonia,8.7,8.7,8.7,9.8,9.5,9.8,8.3,7.8,7.7,9.9,9.3,8.7,8.7,8.8,8.4,8.2,6.5,EST
Finland,..,..,4,3.6,5.9,5.4,5.3,4.8,5.1,5.4,6.1,6,5.9,6.1,6.4,6.5,3.4,FIN
France,6.4,6.1,5.8,6.1,5.7,5.8,5.9,6.1,6,6.2,6.5,6.7,6.8,6.8,6.8,7.2,6.2,FRA
Germany,3.7,3.6,3.7,3.5,3.5,3.6,3.5,3.5,3.6,3.6,3.4,3.5,3.5,3.6,3.7,3.8,3.2,DEU
Greece,6.2,6.7,6.4,7.5,6.5,6.7,6.3,6.8,6.4,7.1,7.2,7.1,7.2,7.6,7.7,7.5,2.4,GRC
Hungary,4.4,3.5,4.6,4.7,4.9,5.2,5.3,5.3,5.1,5.4,6,6.1,5.6,6,6,5.5,5,HUN
