Country,1990,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,1990,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,
OECD average,15.5,15.2,14.6,14.3,14.8,14.1,14.2,14.9,15.6,15.7,15.5,14.2,12.9,13.2,19.0,19.6,19.2,17.3,17.1,16.8,16.0,16.2,15.3,15.2,15.7,16.6,17.0,16.5,15.8,14.1,14.3,17.5,18.4,19.0,OECD
Australia,15.9,16.5,17.3,15.4,14.0,12.8,14.6,13.8,12.6,11.8,10.9,10.5,9.5,9.1,12.5,11.9,11.9,14.8,14.8,14.7,13.8,12.6,11.3,12.3,11.7,11.3,10.9,10.4,9.5,9.2,8.6,10.4,11.1,10.8,AUS
Austria,4.8,6.2,5.6,5.0,4.6,5.0,5.7,6.5,7.5,9.3,10.7,8.8,8.3,7.9,10.5,8.9,7.9,5.6,6.5,7.1,6.6,5.7,5.2,5.5,5.8,6.5,10.1,9.9,9.3,9.1,8.2,9.4,8.8,8.8,AUT
Belgium,19.7,17.3,17.6,18.3,22.7,12.9,14.3,17.2,22.2,20.2,21.0,18.8,17.1,17.3,21.5,22.4,18.7,23.7,24.4,25.7,23.0,22.4,18.2,16.6,18.3,21.3,22.4,22.1,22.6,20.9,18.7,22.5,22.4,18.7,BEL
Canada,16.3,16.9,17.1,16.6,15.3,13.8,14.5,15.4,15.4,14.9,14.2,12.9,12.3,13.1,18.0,17.1,15.9,13.2,13.8,15.3,13.6,12.7,11.4,11.1,11.7,11.9,11.8,10.6,10.4,10.0,10.0,12.3,12.4,12.4,CAN
Chile,..,13.5,12.8,13.7,20.2,19.4,19.8,20.3,19.1,18.7,17.3,16.4,16.1,17.8,21.5,16.6,15.2,..,18.5,18.3,18.1,24.9,24.8,23.2,24.2,24.9,24.6,23.8,21.6,20.8,23.0,24.4,21.7,21.1,CHL
Czech Republic,7.2,6.4,7.5,10.7,15.9,16.7,16.0,15.1,16.6,21.1,19.4,16.6,10.6,9.8,16.6,18.3,18.1,8.7,8.3,10.3,14.8,18.5,17.4,17.3,17.3,18.8,19.5,19.1,18.6,11.0,9.9,16.7,18.5,17.9,CZE
Denmark,7.8,9.0,6.6,6.7,9.5,6.5,7.3,7.3,9.2,8.9,8.6,7.9,7.6,7.4,13.3,16.1,15.7,12.3,12.4,9.9,7.6,10.5,7.0,9.3,7.5,9.2,7.4,8.6,7.5,7.4,8.7,10.3,11.8,12.7,DNK
Estonia,12.4,15.2,14.8,16.1,19.1,22.6,18.3,13.6,16.0,20.0,15.7,9.7,11.7,12.0,30.3,33.5,22.4,16.3,16.6,12.4,14.2,18.5,23.7,26.4,22.5,26.0,22.4,14.9,14.7,7.1,11.3,22.0,30.0,20.7,EST
